Bacterial_associate_taxa,Class,Family,Fungal_host_taxa,Genus,Order,Phylum,Superkingdom
Micrococcus,Pucciniomycetes,Coleosporiaceae,Cronartium,Cronartium,Pucciniales,Basidiomycota,Eukaryota
Micrococcus,Agaricomycetes,Atheliaceae,Fibularhizoctonia,Fibularhizoctonia,Atheliales,Basidiomycota,Eukaryota
Micrococcus,Sordariomycetes,Sordariaceae,Neurospora,Neurospora,Sordariales,Ascomycota,Eukaryota
Microcoleus,Agaricomycetes,Hymenochaetaceae,Fomitiporia,Fomitiporia,Hymenochaetales,Basidiomycota,Eukaryota
Mogibacterium,Dothideomycetes,Lophiostomataceae,Lophiostoma,Lophiostoma,Pleosporales,Ascomycota,Eukaryota
Moraxella,Dothideomycetes,Pleosporaceae,Bipolaris,Bipolaris,Pleosporales,Ascomycota,Eukaryota
Moraxella,Pucciniomycetes,Coleosporiaceae,Cronartium,Cronartium,Pucciniales,Basidiomycota,Eukaryota
Moraxella,Dothideomycetes,Lizonia,Lizonia,NA,Pseudoperisporiaceae,Ascomycota,Eukaryota
Moraxella,Sordariomycetes,Microascaceae,Microascus,Microascus,Microascales,Ascomycota,Eukaryota
Moraxella,Sordariomycetes,Sordariaceae,Neurospora,Neurospora,Sordariales,Ascomycota,Eukaryota
Moraxella,Agaricomycetes,Mycenaceae,Panellus,Panellus,Agaricales,Basidiomycota,Eukaryota
Moraxella,Agaricomycetes,Hymenochaetaceae,Porodaedalea,Porodaedalea,Hymenochaetales,Basidiomycota,Eukaryota
Moraxella,Dothideomycetes,Saccharataceae,Saccharata,Saccharata,Botryosphaeriales,Ascomycota,Eukaryota
Moraxella,Agaricomycetes,Schizophyllaceae,Schizophyllum,Schizophyllum,Agaricales,Basidiomycota,Eukaryota
Moraxella,Agaricomycetes,Lachnocladiaceae,Scytinostroma,Scytinostroma,Russulales,Basidiomycota,Eukaryota
Moraxella,Agaricomycetes,Thelephoraceae,Thelephora,Thelephora,Thelephorales,Basidiomycota,Eukaryota
Moraxella,Agaricomycetes,Tulasnellaceae,Tulasnella,Tulasnella,Cantharellales,Basidiomycota,Eukaryota
Muribaculum,Tremellomycetes,Cryptococcaceae,Cryptococcus,Cryptococcus,Tremellales,Basidiomycota,Eukaryota
Mycobacteroides,Sordariomycetes,Hypocreaceae,Trichoderma,Trichoderma,Hypocreales,Ascomycota,Eukaryota
Mycolicibacterium,Basidiobolomycetes,Basidiobolaceae,Basidiobolus,Basidiobolus,Basidiobolales,Zoopagomycota,Eukaryota
Mycoplasma,Eurotiomycetes,Herpotrichiellaceae,Capronia,Capronia,Chaetothyriales,Ascomycota,Eukaryota
Mycoplasma,Eurotiomycetes,Herpotrichiellaceae,Cladophialophora,Cladophialophora,Chaetothyriales,Ascomycota,Eukaryota
Mycoplasma,Eurotiomycetes,Herpotrichiellaceae,Exophiala,Exophiala,Chaetothyriales,Ascomycota,Eukaryota
Myxococcus,Eurotiomycetes,Aspergillaceae,Aspergillus,Aspergillus,Eurotiales,Ascomycota,Eukaryota
Neisseria,Pucciniomycetes,Pucciniaceae,Puccinia,Puccinia,Pucciniales,Basidiomycota,Eukaryota
Nitrosomonas,Physodermatomycetes,Physodermataceae,Paraphysoderma,Paraphysoderma,Physodermatales,Blastocladiomycota,Eukaryota
Nocardia,Eurotiomycetes,Herpotrichiellaceae,Fonsecaea,Fonsecaea,Chaetothyriales,Ascomycota,Eukaryota
Nocardioides,Agaricomycetes,Schizophyllaceae,Schizophyllum,Schizophyllum,Agaricales,Basidiomycota,Eukaryota
Nosocomiicoccus,Saccharomycetes,Ascoideaceae,Ascoidea,Ascoidea,Saccharomycetales,Ascomycota,Eukaryota
Nostoc,Lecanoromycetes,Lobariaceae,Lobaria,Lobaria,Peltigerales,Ascomycota,Eukaryota
Novispirillum,Agaricomycetes,Mycenaceae,Panellus,Panellus,Agaricales,Basidiomycota,Eukaryota
Ochrobactrum,Agaricomycetes,Strophariaceae,Galerina,Galerina,Agaricales,Basidiomycota,Eukaryota
Ochrobactrum,Mucoromycetes,Phycomycetaceae,Phycomyces,Phycomyces,Mucorales,Mucoromycota,Eukaryota
Ochrobactrum,Leotiomycetes,Pseudogymnoascus,Pseudogymnoascus,NA,Pseudeurotiaceae,Ascomycota,Eukaryota
Oligella,Pucciniomycetes,Coleosporiaceae,Cronartium,Cronartium,Pucciniales,Basidiomycota,Eukaryota
Oscillatoria,Dothideomycetes,Pleosporaceae,Exserohilum,Exserohilum,Pleosporales,Ascomycota,Eukaryota
Oscillatoria,Lecanoromycetes,Lobariaceae,Lobaria,Lobaria,Peltigerales,Ascomycota,Eukaryota
Paenibacillus,Leotiomycetes,Amorphothecaceae,Amorphotheca,Amorphotheca,Helotiales,Ascomycota,Eukaryota
Paenibacillus,Dothideomycetes,Didymosphaeriaceae,Bimuria,Bimuria,Pleosporales,Ascomycota,Eukaryota
Paenibacillus,Agaricomycetes,Boletaceae,Boletus,Boletus,Boletales,Basidiomycota,Eukaryota
Paenibacillus,Eurotiomycetes,Herpotrichiellaceae,Cladophialophora,Cladophialophora,Chaetothyriales,Ascomycota,Eukaryota
Paenibacillus,Eurotiomycetes,Herpotrichiellaceae,Fonsecaea,Fonsecaea,Chaetothyriales,Ascomycota,Eukaryota
Paenibacillus,Microbotryomycetes,Heterogastridiaceae,Heterogastridium,Heterogastridium,Heterogastridiales,Basidiomycota,Eukaryota
Paenibacillus,Microbotryomycetes,Kriegeriaceae,Meredithblackwellia,Meredithblackwellia,Kriegeriales,Basidiomycota,Eukaryota
Paenibacillus,Dothideomycetes,Microthyriaceae,Microthyrium,Microthyrium,Microthyriales,Ascomycota,Eukaryota
Paenibacillus,Cystobasidiomycetes,Naohideaceae,Naohidea,Naohidea,Naohideales,Basidiomycota,Eukaryota
Paenibacillus,Chytridiomycetes,Chytriomycetaceae,Obelidium,Obelidium,Chytridiales,Chytridiomycota,Eukaryota
Paenibacillus,Saccharomycetes,Pichiaceae,Ogataea,Ogataea,Saccharomycetales,Ascomycota,Eukaryota
Paenibacillus,Leotiomycetes,Discinellaceae,Pezoloma,Pezoloma,Helotiales,Ascomycota,Eukaryota
Paenibacillus,Pezizomycetes,Pyronemataceae,Pyronema,Pyronema,Pezizales,Ascomycota,Eukaryota
Paenibacillus,Agaricomycetes,Rhizopogonaceae,Rhizopogon,Rhizopogon,Boletales,Basidiomycota,Eukaryota
Paenibacillus,Agaricomycetes,Stereaceae,Stereum,Stereum,Russulales,Basidiomycota,Eukaryota
Paenibacillus,Saccharomycetes,Debaryomycetaceae,Suhomyces,Suhomyces,Saccharomycetales,Ascomycota,Eukaryota
Paenibacillus,Sordariomycetes,Xylariaceae,Xylaria,Xylaria,Xylariales,Ascomycota,Eukaryota
Pandoraea,Lecanoromycetes,Teloschistaceae,Xanthoria,Xanthoria,Teloschistales,Ascomycota,Eukaryota
Pantoea,Dothideomycetes,Lophiostomataceae,Lophiostoma,Lophiostoma,Pleosporales,Ascomycota,Eukaryota
Pantoea,Dothideomycetes,Piedraiaceae,Piedraia,Piedraia,Capnodiales,Ascomycota,Eukaryota
Pantoea,Dothideomycetes,Pleomassariaceae,Pleomassaria,Pleomassaria,Pleosporales,Ascomycota,Eukaryota
Pantoea,Dothideomycetes,Capnodiaceae,Polychaeton,Polychaeton,Capnodiales,Ascomycota,Eukaryota
Paraburkholderia,Dothideomycetes,Pleosporaceae,Exserohilum,Exserohilum,Pleosporales,Ascomycota,Eukaryota
Paraburkholderia,Saccharomycetes,Lipomycetaceae,Lipomyces,Lipomyces,Saccharomycetales,Ascomycota,Eukaryota
Paraburkholderia,Ustilaginomycetes,Violaceomycetaceae,Violaceomyces,Violaceomyces,Violaceomycetales,Basidiomycota,Eukaryota
Paraburkholderia,Lecanoromycetes,Teloschistaceae,Xanthoria,Xanthoria,Teloschistales,Ascomycota,Eukaryota
Parageobacillus,Lecanoromycetes,Teloschistaceae,Xanthoria,Xanthoria,Teloschistales,Ascomycota,Eukaryota
Patulibacter,Agaricomycetes,Meruliaceae,Ceriporiopsis,Ceriporiopsis,Polyporales,Basidiomycota,Eukaryota
Pectobacterium,Saccharomycetes,Debaryomycetaceae,Hyphopichia,Hyphopichia,Saccharomycetales,Ascomycota,Eukaryota
Pectobacterium,Saccharomycetes,Debaryomycetaceae,Suhomyces,Suhomyces,Saccharomycetales,Ascomycota,Eukaryota
Pelomonas,Agaricomycetes,Omphalotaceae,Gymnopus,Gymnopus,Agaricales,Basidiomycota,Eukaryota
Pelomonas,Agaricomycetes,Hydnangiaceae,Laccaria,Laccaria,Agaricales,Basidiomycota,Eukaryota
Pelomonas,Sordariomycetes,Sordariaceae,Neurospora,Neurospora,Sordariales,Ascomycota,Eukaryota
Pluralibacter,Eurotiomycetes,Herpotrichiellaceae,Capronia,Capronia,Chaetothyriales,Ascomycota,Eukaryota
Pluralibacter,Dothideomycetes,Mycosphaerellaceae,Cercospora,Cercospora,Mycosphaerellales,Ascomycota,Eukaryota
Pluralibacter,Eurotiomycetes,Herpotrichiellaceae,Cladophialophora,Cladophialophora,Chaetothyriales,Ascomycota,Eukaryota
Pluralibacter,Eurotiomycetes,Herpotrichiellaceae,Exophiala,Exophiala,Chaetothyriales,Ascomycota,Eukaryota
Pluralibacter,Eurotiomycetes,Herpotrichiellaceae,Fonsecaea,Fonsecaea,Chaetothyriales,Ascomycota,Eukaryota
Pluralibacter,Agaricomycetes,Stereaceae,Stereum,Stereum,Russulales,Basidiomycota,Eukaryota
Porphyromonas,Dothideomycetes,Pleosporaceae,Bipolaris,Bipolaris,Pleosporales,Ascomycota,Eukaryota
Porphyromonas,Agaricomycetes,Hymenochaetaceae,Fomitiporia,Fomitiporia,Hymenochaetales,Basidiomycota,Eukaryota
Prevotella,Agaricomycetes,Auriculariaceae,Auricularia,Auricularia,Auriculariales,Basidiomycota,Eukaryota
