Bacterial_associate_taxa,Class,Family,Fungal_host_taxa,Genus,Order,Phylum,Superkingdom
Skermanella,Alphaproteobacteria,Azospirillaceae,Rhizopogon,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Sordaria,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Stropharia,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Tolypocladium,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Trametes,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Skermanella,Alphaproteobacteria,Azospirillaceae,Trichoderma,Skermanella,Rhodospirillales,Proteobacteria,Bacteria
Sneathia,Fusobacteriia,Leptotrichiaceae,Aspergillus,Sneathia,Fusobacteriales,Fusobacteria,Bacteria
Sneathia,Fusobacteriia,Leptotrichiaceae,Trametes,Sneathia,Fusobacteriales,Fusobacteria,Bacteria
Solirubrobacter,Thermoleophilia,Solirubrobacteraceae,Coniochaeta,Solirubrobacter,Solirubrobacterales,Actinobacteria,Bacteria
Solirubrobacter,Thermoleophilia,Solirubrobacteraceae,Fusarium,Solirubrobacter,Solirubrobacterales,Actinobacteria,Bacteria
Solirubrobacter,Thermoleophilia,Solirubrobacteraceae,Gaeumannomyces,Solirubrobacter,Solirubrobacterales,Actinobacteria,Bacteria
Solirubrobacter,Thermoleophilia,Solirubrobacteraceae,Verticillium,Solirubrobacter,Solirubrobacterales,Actinobacteria,Bacteria
Sphaerochaeta,Spirochaetia,Sphaerochaetaceae,Gaeumannomyces,Sphaerochaeta,Spirochaetales,Spirochaetes,Bacteria
Sphingoaurantiacus,Alphaproteobacteria,Sphingosinicellaceae,Agrocybe,Sphingoaurantiacus,Sphingomonadales,Proteobacteria,Bacteria
Sphingoaurantiacus,Alphaproteobacteria,Sphingosinicellaceae,Armillaria,Sphingoaurantiacus,Sphingomonadales,Proteobacteria,Bacteria
Sphingoaurantiacus,Alphaproteobacteria,Sphingosinicellaceae,Aspergillus,Sphingoaurantiacus,Sphingomonadales,Proteobacteria,Bacteria
Sphingoaurantiacus,Alphaproteobacteria,Sphingosinicellaceae,Beauveria,Sphingoaurantiacus,Sphingomonadales,Proteobacteria,Bacteria
Sphingoaurantiacus,Alphaproteobacteria,Sphingosinicellaceae,Coprinellus,Sphingoaurantiacus,Sphingomonadales,Proteobacteria,Bacteria
Sphingoaurantiacus,Alphaproteobacteria,Sphingosinicellaceae,Coprinus,Sphingoaurantiacus,Sphingomonadales,Proteobacteria,Bacteria
Sphingoaurantiacus,Alphaproteobacteria,Sphingosinicellaceae,Fistulina,Sphingoaurantiacus,Sphingomonadales,Proteobacteria,Bacteria
Sphingoaurantiacus,Alphaproteobacteria,Sphingosinicellaceae,Fusarium,Sphingoaurantiacus,Sphingomonadales,Proteobacteria,Bacteria
Sphingoaurantiacus,Alphaproteobacteria,Sphingosinicellaceae,Ganoderma,Sphingoaurantiacus,Sphingomonadales,Proteobacteria,Bacteria
Sphingoaurantiacus,Alphaproteobacteria,Sphingosinicellaceae,Grifola,Sphingoaurantiacus,Sphingomonadales,Proteobacteria,Bacteria
Sphingoaurantiacus,Alphaproteobacteria,Sphingosinicellaceae,Hericium,Sphingoaurantiacus,Sphingomonadales,Proteobacteria,Bacteria
Sphingoaurantiacus,Alphaproteobacteria,Sphingosinicellaceae,Hypsizygus,Sphingoaurantiacus,Sphingomonadales,Proteobacteria,Bacteria
Sphingoaurantiacus,Alphaproteobacteria,Sphingosinicellaceae,Infundibulicybe,Sphingoaurantiacus,Sphingomonadales,Proteobacteria,Bacteria
