Bacterial_associate_taxa,Class,Family,Fungal_host_taxa,Genus,Order,Phylum,Superkingdom
Rubellimicrobium,Alphaproteobacteria,Roseobacteraceae,Morchella,Rubellimicrobium,Rhodobacterales,Proteobacteria,Bacteria
Rubellimicrobium,Alphaproteobacteria,Roseobacteraceae,Mucor,Rubellimicrobium,Rhodobacterales,Proteobacteria,Bacteria
Rubellimicrobium,Alphaproteobacteria,Roseobacteraceae,Omphalotus,Rubellimicrobium,Rhodobacterales,Proteobacteria,Bacteria
Rubellimicrobium,Alphaproteobacteria,Roseobacteraceae,Panellus,Rubellimicrobium,Rhodobacterales,Proteobacteria,Bacteria
Rubellimicrobium,Alphaproteobacteria,Roseobacteraceae,Penicillium,Rubellimicrobium,Rhodobacterales,Proteobacteria,Bacteria
Rubellimicrobium,Alphaproteobacteria,Roseobacteraceae,Phaeoacremonium,Rubellimicrobium,Rhodobacterales,Proteobacteria,Bacteria
Rubellimicrobium,Alphaproteobacteria,Roseobacteraceae,Phaeomoniella,Rubellimicrobium,Rhodobacterales,Proteobacteria,Bacteria
Rubellimicrobium,Alphaproteobacteria,Roseobacteraceae,Pleurotus,Rubellimicrobium,Rhodobacterales,Proteobacteria,Bacteria
Rubellimicrobium,Alphaproteobacteria,Roseobacteraceae,Polyporus,Rubellimicrobium,Rhodobacterales,Proteobacteria,Bacteria
Rubellimicrobium,Alphaproteobacteria,Roseobacteraceae,Psathyrella,Rubellimicrobium,Rhodobacterales,Proteobacteria,Bacteria
Rubellimicrobium,Alphaproteobacteria,Roseobacteraceae,Purpureocillium,Rubellimicrobium,Rhodobacterales,Proteobacteria,Bacteria
Rubellimicrobium,Alphaproteobacteria,Roseobacteraceae,Rhizopogon,Rubellimicrobium,Rhodobacterales,Proteobacteria,Bacteria
Rubellimicrobium,Alphaproteobacteria,Roseobacteraceae,Schizosaccharomyces,Rubellimicrobium,Rhodobacterales,Proteobacteria,Bacteria
Rubellimicrobium,Alphaproteobacteria,Roseobacteraceae,Sordaria,Rubellimicrobium,Rhodobacterales,Proteobacteria,Bacteria
Rubellimicrobium,Alphaproteobacteria,Roseobacteraceae,Stereum,Rubellimicrobium,Rhodobacterales,Proteobacteria,Bacteria
Rubellimicrobium,Alphaproteobacteria,Roseobacteraceae,Stropharia,Rubellimicrobium,Rhodobacterales,Proteobacteria,Bacteria
Rubellimicrobium,Alphaproteobacteria,Roseobacteraceae,Suillus,Rubellimicrobium,Rhodobacterales,Proteobacteria,Bacteria
Rubellimicrobium,Alphaproteobacteria,Roseobacteraceae,Tolypocladium,Rubellimicrobium,Rhodobacterales,Proteobacteria,Bacteria
Rubellimicrobium,Alphaproteobacteria,Roseobacteraceae,Trametes,Rubellimicrobium,Rhodobacterales,Proteobacteria,Bacteria
Rubellimicrobium,Alphaproteobacteria,Roseobacteraceae,Trichoderma,Rubellimicrobium,Rhodobacterales,Proteobacteria,Bacteria
Rubellimicrobium,Alphaproteobacteria,Roseobacteraceae,Truncatella,Rubellimicrobium,Rhodobacterales,Proteobacteria,Bacteria
Rubellimicrobium,Alphaproteobacteria,Roseobacteraceae,Verticillium,Rubellimicrobium,Rhodobacterales,Proteobacteria,Bacteria
Rubritepida,Alphaproteobacteria,Acetobacteraceae,Armillaria,Rubritepida,Rhodospirillales,Proteobacteria,Bacteria
Rubritepida,Alphaproteobacteria,Acetobacteraceae,Beauveria,Rubritepida,Rhodospirillales,Proteobacteria,Bacteria
Rubritepida,Alphaproteobacteria,Acetobacteraceae,Coprinus,Rubritepida,Rhodospirillales,Proteobacteria,Bacteria
Rubritepida,Alphaproteobacteria,Acetobacteraceae,Ganoderma,Rubritepida,Rhodospirillales,Proteobacteria,Bacteria
Rubritepida,Alphaproteobacteria,Acetobacteraceae,Grifola,Rubritepida,Rhodospirillales,Proteobacteria,Bacteria
Rubritepida,Alphaproteobacteria,Acetobacteraceae,Hericium,Rubritepida,Rhodospirillales,Proteobacteria,Bacteria
Rubritepida,Alphaproteobacteria,Acetobacteraceae,Hypsizygus,Rubritepida,Rhodospirillales,Proteobacteria,Bacteria
Rubritepida,Alphaproteobacteria,Acetobacteraceae,Infundibulicybe,Rubritepida,Rhodospirillales,Proteobacteria,Bacteria
Rubritepida,Alphaproteobacteria,Acetobacteraceae,Kuehneromyces,Rubritepida,Rhodospirillales,Proteobacteria,Bacteria
Rubritepida,Alphaproteobacteria,Acetobacteraceae,Laetiporus,Rubritepida,Rhodospirillales,Proteobacteria,Bacteria
Rubritepida,Alphaproteobacteria,Acetobacteraceae,Lepista,Rubritepida,Rhodospirillales,Proteobacteria,Bacteria
Rubritepida,Alphaproteobacteria,Acetobacteraceae,Lyophyllum,Rubritepida,Rhodospirillales,Proteobacteria,Bacteria
Rubritepida,Alphaproteobacteria,Acetobacteraceae,Marasmius,Rubritepida,Rhodospirillales,Proteobacteria,Bacteria
